,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
1,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
2,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
3,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
4,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
5,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
6,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
7,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
8,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
9,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
10,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
11,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
12,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
13,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
14,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
16,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
17,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
18,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
19,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
20,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
21,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
22,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
23,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
24,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
25,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
26,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
27,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
28,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
29,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
30,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
32,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
33,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
34,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
35,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
36,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
37,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
38,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
39,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
40,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
41,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
42,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
43,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
44,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
45,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
46,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
48,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
49,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
50,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
51,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
52,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
53,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
54,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
55,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
56,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
57,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
58,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
59,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
60,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
61,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
62,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
64,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
65,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
66,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
67,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
68,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
69,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
70,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
71,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
72,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
73,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
74,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
75,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
76,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
77,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
78,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
80,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
81,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
82,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
83,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
84,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
85,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
86,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
87,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
88,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
89,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
90,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
91,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
92,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
93,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
94,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
96,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926.0,NFP,PHILADELPHIA,PA
97,"""Incredibly Blessed"" Inc",49-54-61,842071758.0,NFP,STATEN ISLAND,NY
98,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670.0,NFP,ROCHESTER,NY
99,"""Studio 5404"" Inc.",44-39-58,463180470.0,NFP,MASSAPAQUA,NY
100,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128.0,NFP,HUDSON,NY
101,"""Y"" Dive, Inc.",48-45-01,854252095.0,NFP,SAINT ALBANS,NY
102,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182.0,NFP,BROOKLYN,NY
103,#FeedHamburg,48-37-35,854150318.0,NFP,HAMBURG,NY
104,#HicksStrong Inc.,48-10-48,842612081.0,NFP,CLIFTON PARK,NY
105,#WalkAway Foundation,47-15-80,832820906.0,NFP,CARLSBAD,CA
106,04/11 10:17 PM test,47-13-95,206256427.0,NFP,ALBANY,NY
107,1/20/21 Action Fund,46-99-13,832210730.0,NFP,SAN FRANCISCO,CA
108,"10/40 Connections, Inc.",45-70-15,621825230.0,NFP,HIXSON,TN
109,"1000 Feet Project, Inc",45-00-14,473820859.0,NFP,NEW YORK,NY
110,1000 Islands Hose Haulers,45-38-38,454570241.0,NFP,CARTHAGE,NY
